,맥주,년,평점
449,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2021,3.444
450,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2022,3.690909090909091
451,Gambrinus Originál 10° (Desítka), 2002,2.6500000000000004
452,Gambrinus Originál 10° (Desítka), 2003,2.575
453,Gambrinus Originál 10° (Desítka), 2004,2.757142857142857
454,Gambrinus Originál 10° (Desítka), 2005,2.6692307692307695
455,Gambrinus Originál 10° (Desítka), 2006,2.3916666666666666
456,Gambrinus Originál 10° (Desítka), 2007,2.4250000000000003
457,Gambrinus Originál 10° (Desítka), 2008,2.5914285714285716
458,Gambrinus Originál 10° (Desítka), 2009,2.595652173913044
459,Gambrinus Originál 10° (Desítka), 2010,2.54375
460,Gambrinus Originál 10° (Desítka), 2011,2.2766666666666664
461,Gambrinus Originál 10° (Desítka), 2012,2.4703703703703703
462,Gambrinus Originál 10° (Desítka), 2013,2.475862068965517
463,Gambrinus Originál 10° (Desítka), 2014,2.4256410256410255
464,Gambrinus Originál 10° (Desítka), 2015,2.4935483870967743
465,Gambrinus Originál 10° (Desítka), 2016,2.59
466,Gambrinus Originál 10° (Desítka), 2017,2.590909090909091
467,Gambrinus Originál 10° (Desítka), 2018,2.512121212121212
468,Gambrinus Originál 10° (Desítka), 2019,2.638709677419355
469,Gambrinus Originál 10° (Desítka), 2020,2.96
470,Gambrinus Originál 10° (Desítka), 2021,2.2375
471,Gambrinus Originál 10° (Desítka), 2022,2.8363636363636364
472,Goose Island 312 Urban Wheat Ale, 2004,2.7181818181818183
473,Goose Island 312 Urban Wheat Ale, 2005,2.773913043478261
474,Goose Island 312 Urban Wheat Ale, 2006,2.771875
475,Goose Island 312 Urban Wheat Ale, 2007,2.733884297520661
476,Goose Island 312 Urban Wheat Ale, 2008,2.7608
477,Goose Island 312 Urban Wheat Ale, 2009,2.8923076923076922
478,Goose Island 312 Urban Wheat Ale, 2010,2.9
479,Goose Island 312 Urban Wheat Ale, 2011,2.8553191489361702
480,Goose Island 312 Urban Wheat Ale, 2012,2.8550264550264552
481,Goose Island 312 Urban Wheat Ale, 2013,2.7554655870445344
482,Goose Island 312 Urban Wheat Ale, 2014,2.9125
483,Goose Island 312 Urban Wheat Ale, 2015,2.8522292993630574
484,Goose Island 312 Urban Wheat Ale, 2016,2.8385714285714285
485,Goose Island 312 Urban Wheat Ale, 2017,2.8775280898876407
486,Goose Island 312 Urban Wheat Ale, 2018,2.877586206896552
487,Goose Island 312 Urban Wheat Ale, 2019,2.8808510638297875
488,Goose Island 312 Urban Wheat Ale, 2020,2.730769230769231
489,Goose Island 312 Urban Wheat Ale, 2021,2.8000000000000003
490,Goose Island 312 Urban Wheat Ale, 2022,3.2
491,Goose Island Goose IPA, 2000,4.4
492,Goose Island Goose IPA, 2001,3.9
493,Goose Island Goose IPA, 2002,3.6191489361702125
494,Goose Island Goose IPA, 2003,3.556164383561644
495,Goose Island Goose IPA, 2004,3.595402298850575
496,Goose Island Goose IPA, 2005,3.6120567375886528
497,Goose Island Goose IPA, 2006,3.6801470588235294
498,Goose Island Goose IPA, 2007,3.555263157894737
499,Goose Island Goose IPA, 2008,3.581879194630873
500,Goose Island Goose IPA, 2009,3.583544303797469
501,Goose Island Goose IPA, 2010,3.6227941176470586
502,Goose Island Goose IPA, 2011,3.566666666666667
503,Goose Island Goose IPA, 2012,3.5687203791469195
504,Goose Island Goose IPA, 2013,3.5207357859531774
505,Goose Island Goose IPA, 2014,3.521505376344086
506,Goose Island Goose IPA, 2015,3.419033232628399
507,Goose Island Goose IPA, 2016,3.454216867469879
508,Goose Island Goose IPA, 2017,3.4594405594405595
509,Goose Island Goose IPA, 2018,3.2666666666666666
510,Goose Island Goose IPA, 2019,3.4365217391304346
511,Goose Island Goose IPA, 2020,3.5524999999999998
512,Goose Island Goose IPA, 2021,3.4333333333333336
513,Goose Island Goose IPA, 2022,3.2666666666666666
514,Grimbergen Cuvée Blanche, 2007,2.9
515,Grimbergen Cuvée Blanche, 2008,3.3117647058823527
516,Grimbergen Cuvée Blanche, 2009,3.1500000000000004
517,Grimbergen Cuvée Blanche, 2010,3.0599999999999996
518,Grimbergen Cuvée Blanche, 2011,2.9333333333333336
519,Grimbergen Cuvée Blanche, 2012,3.085294117647059
520,Grimbergen Cuvée Blanche, 2013,3.075
521,Grimbergen Cuvée Blanche, 2014,2.986
522,Grimbergen Cuvée Blanche, 2015,3.1986842105263156
523,Grimbergen Cuvée Blanche, 2016,3.1357142857142857
524,Grimbergen Cuvée Blanche, 2017,3.108
525,Grimbergen Cuvée Blanche, 2018,3.215909090909091
526,Grimbergen Cuvée Blanche, 2019,3.2460000000000004
527,Grimbergen Cuvée Blanche, 2020,3.365625
528,Grimbergen Cuvée Blanche, 2021,3.1785714285714284
529,Grimbergen Cuvée Blanche, 2022,2.92
530,Grolsch Premium Lager, 2015,2.330952380952381
531,Grolsch Premium Lager, 2016,2.6465753424657534
532,Grolsch Premium Lager, 2017,2.696842105263158
533,Grolsch Premium Lager, 2018,2.783606557377049
534,Grolsch Premium Lager, 2019,2.7566037735849056
535,Grolsch Premium Lager, 2020,2.8000000000000003
536,Grolsch Premium Lager, 2021,2.6681818181818184
537,Grolsch Premium Lager, 2022,2.7210526315789476
538,Guinness Draught, 2000,4.148
539,Guinness Draught, 2001,3.964606741573034
540,Guinness Draught, 2002,3.6795865633074936
541,Guinness Draught, 2003,3.542013888888889
542,Guinness Draught, 2004,3.543042071197411
543,Guinness Draught, 2005,3.396694214876033
544,Guinness Draught, 2006,3.532571428571429
545,Guinness Draught, 2007,3.3903640256959315
546,Guinness Draught, 2008,3.434292565947242
547,Guinness Draught, 2009,3.422327044025157
548,Guinness Draught, 2010,3.3642023346303502
549,Guinness Draught, 2011,3.415352697095436
550,Guinness Draught, 2012,3.4565088757396447
551,Guinness Draught, 2013,3.3835164835164835
